"course","code","degree"
"Art & Design Flexible Mode Yr 4","G-AARPG74","BA"
"Art & Design Flexible Mode Yr 5","G-AARPG75","BA"
"Art & Design Flexible Mode Yr 6","G-AARPG76","BA"
"Art & Design Ceramics L7 Yr 3","G-AARTG73","BA"
"Art & Design Painting L7 Yr 3","G-AARTG73","BA"
"Art & Design Printmaking L7 Yr 3","G-AARTG73","BA"
"Art & Design Sculpture L7 Yr 3","G-AARTG73","BA"
"Art & Design Textiles L7 Yr 3","G-AARTG73","BA"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr A","G-ACONG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr B","G-ACONG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr C","G-ACONG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr C","G-ACONG71","BA"
"Contemporary Art  Gr B L7 Yr 2 Sem 3","G-ACONG72","BA"
"Contemporary Art
 Gr A L7 Yr 2 Sem 3","G-ACONG72","BA"
"Contemporary Art
 L7 Yr 2 Sem 4","G-ACONG72","BA"
"Contemporary Art
 L7 Yr 2 Sem 4","G-ACONG72","BA"
"Contemporary Art
 L7 Yr 2 Sem 4","G-ACONG72","BA"
"(Honours) in Contemporary Art
 L8 Yr 2 Sem 4","G-ACONG82","BA"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr A","G-ACONGG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr B","G-ACONGG71","BA"
"MA-CP-1","G-ACREG95","Unknown"
"MA-CP-2","G-ACREG95","Unknown"
"MA-CP-3","G-ACREG95","Unknown"
"MA-CP-4","G-ACREG95","Unknown"
"Fine Art Ceramics L8 Yr 4","G-AFING84","BA"
"Fine Art Painting L8 Yr 4","G-AFING84","BA"
"Fine Art Printmaking L8 Yr 4","G-AFING84","BA"
"Fine Art Sculpture L8 Yr 4","G-AFING84","BA"
"Chartered Certified Accountants Professional L9 Yr 5 Sem 09","G-BACAG95","Assc"
"Chartered Certified Accountants Professional L9 Yr 5 Sem 10","G-BACAG95","Assc"
"Accountancy L8 Yr 1 Sem 1","G-BACCG81","BB"
"Accountancy L8 Yr 1 Sem 2","G-BACCG81","BB"
