"id","room","capacity","campus"
"0","CCAM104 WhiteRm","60","CCAM"
"1","CCAM107 107","60","CCAM"
"2","CCAM115 FASRm","30","CCAM"
"3","CCAM116 Print 117","60","CCAM"
"4","CCAM117 Print","60","CCAM"
"5","CCAM120 PrintWS","20","CCAM"
"6","CCAM121 PrintWS","20","CCAM"
"7","CCAM122 PrintWS","60","CCAM"
"8","CCAM123 PrintWS","20","CCAM"
"9","CCAM124 PrintWS","60","CCAM"
"10","CCAM125 PrintWS","20","CCAM"
"11","CCAM126 PrintWS","60","CCAM"
"12","CCAM127a Sculpt127","60","CCAM"
"13","CCAM136 SculptWS","60","CCAM"
"14","CCAM136a SculptWS","60","CCAM"
"15","CCAM141 CeramSt","60","CCAM"
"16","CCAM141 CeramWS","60","CCAM"
"17","CCAM141 CeramWS","60","CCAM"
"18","CCAM142 WoodWS","60","CCAM"
"19","CCAM148 GreenRm","60","CCAM"
"20","CCAM148 OrangeRm","60","CCAM"
"21","CCAM150 Chapel","60","CCAM"
"22","CCAM158 ceramTR","20","CCAM"
"23","CCAM162 WellpkRm","60","CCAM"
"24","CCAM163 WellpkRm","60","CCAM"
"25","CCAM209 Studio","60","CCAM"
"26","CCAM210 Studio","60","CCAM"
"27","CCAM211 Studio","60","CCAM"
"28","CCAM212 Studio","60","CCAM"
"29","CCAM213","60","CCAM"
"30","CCAM214 Studio","60","CCAM"
"31","CCAM218 Studio","60","CCAM"
"32","CCAM219 RedRm","60","CCAM"
"33","CCAM220 RedRm","60","CCAM"
"34","CCAM221 Studio","60","CCAM"
"35","CCAM222 Studio","60","CCAM"
"36","CCAM223 Studio Space","60","CCAM"
"37","CCAM225 Post Grad","60","CCAM"
"38","CCAM228 Studio","60","CCAM"
"39","CCAM229 Studio","60","CCAM"
"40","CCAM230 Studio","60","CCAM"
"41","CCAM233 ComputerLab","60","CCAM"
"42","CCAM234 ComputerLab","60","CCAM"
"43","CCAM235 EdSuite1","60","CCAM"
"44","CCAM236 EdSuite2","60","CCAM"
"45","CCAM237 EdSuite3","60","CCAM"
"46","CCAM242 PhotoPrint","60","CCAM"
"47","CCAM243 PhotoPrint","60","CCAM"
"48","CCAM244 Lab 2","60","CCAM"
"49","CCAM253 BlackRm","60","CCAM"
"50","CCAM254 DarkRm","60","CCAM"
"51","CCAM255 PrintStore","60","CCAM"
"52","CCAM256 Sound","60","CCAM"
"53","CCAM257 Sound257","60","CCAM"
"54","CCAM258 Sound257","60","CCAM"
"55","CCAM261 BlueRm","25","CCAM"
"56","CCAM262 ComLab1","60","CCAM"
"57","CCAM263 ComLab1","60","CCAM"
"58","CCAM300 MeetRm","60","CCAM"
"59","CCAM301 Studio","60","CCAM"
"60","CCAM302 Studio","60","CCAM"
"61","CCAM303 Studio","60","CCAM"
"62","CCAM304 Studio","60","CCAM"
"63","CCAM305 Studio","60","CCAM"
"64","CCAM306 Studio","60","CCAM"
"65","CCAM307 Studio","60","CCAM"
"66","CCAM308 Studio","60","CCAM"
"67","CCAM309 TextileWS","60","CCAM"
"68","CCAM309 TextileWS","60","CCAM"
"69","CCAM310 TextileLab","60","CCAM"
"70","CCAM311 TextileLab","60","CCAM"
"71","CCAM312 TextileLab","60","CCAM"
"72","CCAM317a Studio","60","CCAM"
"73","CCAM317b Studio","60","CCAM"
"74","CCAM317c Studio","60","CCAM"
"75","CCAM317d Studio","60","CCAM"
"76","CCAM317e Paint317","60","CCAM"
