"course","code","degree","dept"
"Art & Design Flexible Mode Yr 4","G-AARPG74","BA","CCAM"
"Art & Design Flexible Mode Yr 5","G-AARPG75","BA","CCAM"
"Art & Design Flexible Mode Yr 6","G-AARPG76","BA","CCAM"
"Art & Design Ceramics L7 Yr 3","G-AARTG73","BA","CCAM"
"Art & Design Painting L7 Yr 3","G-AARTG73","BA","CCAM"
"Art & Design Printmaking L7 Yr 3","G-AARTG73","BA","CCAM"
"Art & Design Sculpture L7 Yr 3","G-AARTG73","BA","CCAM"
"Art & Design Textiles L7 Yr 3","G-AARTG73","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr A","G-ACONG71","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr B","G-ACONG71","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr C","G-ACONG71","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr C","G-ACONG71","BA","CCAM"
"Contemporary Art  Gr B L7 Yr 2 Sem 3","G-ACONG72","BA","CCAM"
"Contemporary Art
 Gr A L7 Yr 2 Sem 3","G-ACONG72","BA","CCAM"
"Contemporary Art
 L7 Yr 2 Sem 4","G-ACONG72","BA","CCAM"
"Contemporary Art
 L7 Yr 2 Sem 4","G-ACONG72","BA","CCAM"
"Contemporary Art
 L7 Yr 2 Sem 4","G-ACONG72","BA","CCAM"
"(Honours) in Contemporary Art
 L8 Yr 2 Sem 4","G-ACONG82","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr A","G-ACONGG71","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr B","G-ACONGG71","BA","CCAM"
"MA-CP-1","G-ACREG95","Unknown","CCAM"
"MA-CP-2","G-ACREG95","Unknown","CCAM"
"MA-CP-3","G-ACREG95","Unknown","CCAM"
"MA-CP-4","G-ACREG95","Unknown","CCAM"
"Fine Art Ceramics L8 Yr 4","G-AFING84","BA","CCAM"
"Fine Art Painting L8 Yr 4","G-AFING84","BA","CCAM"
"Fine Art Printmaking L8 Yr 4","G-AFING84","BA","CCAM"
"Fine Art Sculpture L8 Yr 4","G-AFING84","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr D","G-DDESG71","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr D","G-DDESG71","BA","CCAM"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr E","G-DDESG71","BA","CCAM"
